Story,Label
پاکستان میں احمدی برادری کی کم ہوتی آبادی: ’پڑوسی کہتے کہ اِن سے بات مت کریں ورنہ منھ پلید ہو جائے گا‘,pakistan
’شہزاد اکبر کے استعفے کی وجہ محض نواز شریف کو واپس لانے میں ناکامی نہیں‘,pakistan
’ایک دکھ والد کی موت کا تھا اور دوسرا یہ کہ میت کے لیے گھنٹوں انتظار کرنا پڑا‘,pakistan
وقاص گورایہ کے قتل کی سازش کے الزام کے مقدمے میں جیوری کا فیصلے پر غور شروع,pakistan
نور مقدم قتل کیس: تفتیشی افسر سے مقتولہ کے فون کے میسجز کے بارے میں سوال,pakistan
ناظم جوکھیو قتل کیس میں پولیس چالان کے مطابق ان کی موت ’تشدد سے ہوئی‘,pakistan
پاکستانی احمدی برادری کے خلاف بڑھتا تعصب اور نفرت,pakistan
مردان: بچی کو ریپ اور قتل کرنے کے کم عمر مجرم کو مجموعی طور پر 88 برس قید کی سزا,pakistan
جاسوسی کے الزام میں پاکستان کو مطلوب انڈین سفارتکار کے کراچی سے ڈرامائی فرار کی کہانی,pakistan
سوا سال قبل بازیاب کروائے گئے 70 باز پاکستانی حکام کی تحویل میں کیسے ہلاک ہوئے؟,pakistan
سپاٹ فکسنگ، عدالتی معاملات اور بند فائل: مگر پھر سیٹی ایسی بجی کہ پی ایس ایل دلوں میں بس گئی,pakistan
لاہور ہائی کورٹ نے ’دریائے راوی کے کنارے نئے شہر‘ کے منصوبے کو کالعدم قرار دے دیا,pakistan
’جائے واردات سے برآمد ہونے والے چاقو پر نور مقدم کے خون کے نشان موجود تھے‘,pakistan
ٹرانسپیرنسی انٹرنیشنل: پاکستان میں بدعنوانی میں اضافہ، دس سال میں سب سے ’بُری درجہ بندی‘,pakistan
پاکستانی شہروں میں دہشتگردی کے حالیہ واقعات افغانستان میں ٹی ٹی پی پر پُراسرار حملوں کا ردعمل ہیں؟,pakistan
عاصمہ شیرازی کا کالم: آخری قہقہہ کس کا؟,pakistan
شہزاد اکبر مستعفی: نواز شریف کی واپسی، ایسٹ ریکوری یونٹ جیسی ’وجوہات‘ زیر بحث,pakistan
کیا عمران خان صرف اپوزیشن کو مخاطب کر رہے تھے؟,pakistan
’کیا مجھے کزن میرج کرنی چاہیے‘,pakistan
جسٹس عائشہ ملک: سپریم کورٹ کی پہلی خاتون جج نے عہدے کا حلف اٹھا لیا,pakistan
شِمشال: پاکستان کا وہ دور دراز آخری گاؤں جہاں کے باسی ایک دوسرے کے لیے جیتے ہیں,pakistan
اقوام متحدہ کے ’آر ٹو پی‘ اصول کی تشریح پر وزیر اعظم کی وضاحت,pakistan
اگر میں اقتدار سے باہر نکل گیا تو آپ کے لیے زیادہ خطرناک ہوں گا: عمران خان,pakistan
شانگلہ میں لینڈ سلائیڈنگ میں ہلاکتیں: ’انتظار کیا جاتا رہا کہ کوئی حادثہ ہو تو حکومت اور انتظامیہ حرکت میں آئے‘,pakistan
’زیادہ خوشی پاکستان کا نام آنے کی ہے‘: محمد رضوان آئی سی سی ٹی 20 ’کرکٹر آف دی ایئر‘,pakistan
ظاہر جعفر کا پچھتاوا: اڑیں گے پرزے,pakistan
ٹیکس مراعات کے خاتمے سے گاڑیوں کی قیمتوں میں کتنا اضافہ ہوا اور آگے کیا ہوگا؟,pakistan
عمران خان کے ’ایک کروڑ نوکریوں‘ کے وعدے کا کیا بنا؟,pakistan
بارہ ماسی: آم کا وہ درخت جو سردیوں میں بھی پھل دیتا ہے,pakistan
پارلیمانی کتھک اور صدارتی لڈی: وسعت اللہ خان کا کالم بات سے بات,pakistan
اسلام آباد: ریپ، چائلڈ پورنوگرافی کے مقدمے میں سابق پولیس اہلکار کی سزا برقرار,pakistan
ملکہ وکٹوریہ کی وفات پر اقبال کا وہ مرثیہ جو ’بانگ درا‘ میں شامل نہ ہوا,pakistan
گوادر کے ماہی گیر: ’وزیرِ ماہی گیری کو پیسے چاہیں تو ہم چندہ کریں گے‘,pakistan
میم جو غم بھلا دے اور فلموں ڈراموں میں کام بھی دلا دے,pakistan
اگر معیشت کی شرح نمو اتنی اچھی ہے، تو اس کا اثر عام لوگوں کی جیب پر کیوں نہیں پڑ رہا؟,pakistan
ہراسانی کے خلاف ترمیمی قانون منظور، اس کی ضرورت کیوں پیش آئی؟,pakistan
کیا پاکستان میں صدارتی نظام نافذ کیا جا بھی سکتا ہے؟,pakistan
’میں نے کھانا بنانے کے لیے چاقو خریدا، قتل کرنے کے لیے نہیں‘، ملزم کا عدالت میں بیان,pakistan
یوٹیوب پر پریانتھا کے قتل کو درست کہنے پر شہری کو ایک سال قید کی سزا,pakistan
قوم کی بیٹی نصیبو لال: محمد حنیف کا کالم,pakistan
خواتین آن لائن ہراسانی کے واقعات ایف آئی اے کو رپورٹ کرنے میں ہچکچاہٹ کا شکار کیوں؟,pakistan
لاہور دھماکہ: نو برس کا ابصار ’کراچی پہنچ کر حفظ میں داخلہ‘ لینا چاہتا تھا,pakistan
کیا پاکستان میں ڈالر کی قیمت 200 روپے تک جا سکتی ہے؟,pakistan
پاکستان میں کووڈ کے نئے مریضوں کی ریکارڈ تعداد، ایک دن میں ساڑھے سات ہزار سے زیادہ نئے مریض,pakistan
سانحۂ مری رپورٹ: ’ایڈوائزریز اتنی تاخیر سے پڑھی گئیں کہ منصوبہ بندی اور تیاری کے لیے وقت ہی نہیں بچا تھا‘,pakistan
ملزم ظاہر جعفر کی سٹریچر پر عدالت میں پیشی، طبی معائنے میں ’فِٹ‘ قرار,pakistan
لاہور کے انارکلی بازار میں دھماکے سے تین ہلاک، متعدد زخمی,pakistan
میشا شفیع اور علی ظفر: گلوکاروں کے درمیان قانونی جنگ کی تفصیلات کیا ہیں؟,pakistan
’کوئی مانے نہ مانے پاکستانی سوشل میڈیا پر صدارتی نظام رائج ہو چکا ہے‘,pakistan
آئی سی سی کی ہر ٹیم میں پاکستانیوں کا راج: ’اس ون ڈے ٹیم کو تو انڈیا اے بھی ہرا دے گی‘,pakistan
امریکی منڈی تک رسائی کی دوڑ میں پاکستان، انڈیا اور بنگلہ دیش سے آگے کیسے نکلا؟,pakistan
دماغ میں کیڑے سے ہونے والے مرض کی سرجری: ’جب مریضہ آئیں تو انھیں جھٹکے لگ رہے تھے‘,pakistan
عثمان مرزا ویڈیو کیس: ’بار بار سوال کر کے مجھے پریشرائز کیوں کیا جا رہا ہے‘,pakistan
کرپٹو کیا ہے، یہ کیسے کام کرتا ہے اور کیا یہ واقعی مستقبل کی کرنسی ہے؟,pakistan
’توہین رسالت پر مبنی پیغام‘ بھیجنے والی خاتون کے لیے موت کی سزا,pakistan
نور مقدم کیس: ظاہر جعفر کو کرسی پر بٹھا کر عدالت میں کیوں لایا گیا؟,pakistan
’ایک دن پہلے ولیمہ ہوا، ہنی مون پر جانا تھا مگر قاتل نے اس کی مہلت ہی نہ دی‘,pakistan
ہما عابدین: ’ایبٹ آباد آپریشن کے بعد پاکستان گئے تو فوج نے نیم گرم چائے پیش کی‘,pakistan
’ریپ کے ملزمان کو پکڑنے کے لیے آٹھ گھنٹے فٹ پاتھ پر بیٹھ کر انتظار کیا‘,pakistan
جب پاکستانی فوجی راج کپور سے ملنے جلیبیاں لے کر سرحد پر آئے,pakistan
عثمان مرزا کیس: متاثرہ جوڑے کے ناقابل ضمانت وارنٹ گرفتاری جاری,pakistan
مدثر نارو کیس: ’جبری گمشدگیوں میں اگر ریاست ہی ملوث ہو تو تفتیش کون کرے گا؟‘,pakistan
سعادت حسن منٹو اور فلمی دنیا: جب منٹو کی کہانی کسی اور کے نام سے چل گئی,pakistan
ٹیسٹ ٹیوب نظام: عاصمہ شیرازی کا کالم,pakistan
’مردہ ماں کے پیٹ سے لٹکی بچے کی ٹانگ دیکھ کر آنکھوں کے سامنے اندھیرا چھا گیا‘,pakistan
’پولیس کو یہ اختیار کون دیتا ہے کہ وہ خواتین کو بھرے بازار میں مارے‘,pakistan
پاکستان کی قومی سلامتی پالیسی کے اہم نکات کیا ہیں؟,pakistan
نور مقدم کیس: ’عدالت جلد از جلد فیصلہ کرنا چاہتی ہے مگر وکیل صفائی تاخیری حربے استعمال کر رہے ہیں‘,pakistan
’میریٹل ریپ کے موضوع پر لڑکیاں کسی سے بات نہیں کر سکتیں، اپنی ساس سے بھی نہیں‘,pakistan
’بیوروکریسی اور جاگیرداروں کے گٹھ جوڑ نے میرے خواب چھین لیے‘,pakistan
وسعت اللہ خان کا کالم: پارلیمانی ریسلنگ چیمپیئن شپ,pakistan
پشاور کی ہندو برادری نے مردے دفنانے کا فیصلہ کیوں کیا؟,pakistan
جب انڈیا نے پنجاب کا 84 ہزار ایکڑ رقبہ پاکستان کے حوالے کر دیا,pakistan
آمنہ مفتی کا کالم ’اڑیں گے پرزے‘: توبہ یہ تبدیلی,pakistan
ظاہر جعفر کو سزائے موت سنائی جائے: نور مقدم کے والد کی عدالت سے استدعا,pakistan
’نصیبو لال پاکستان میں نور جہاں کی کمی کو پورا کرتی ہیں‘,pakistan
گاندھی کا قاتل گوڈسے: جس کا ہندو قوم پرست آر ایس ایس سے تعلق آج بھی ایک راز ہے,Aas Paas
انڈین فوج کی قید میں 14 سالہ عصمد علی: ’دو ماہ سے کھانے کا ہوش ہے نہ سونے کا‘,Aas Paas
چینی ’ٹائیگر کا سال‘ اور اس کی تقریبات,Aas Paas
ٹیپو سلطان: مذہبی رواداری کے علمبردار یا ہندو دشمن حکمران؟,Aas Paas
’میں سلمان خان کے نہیں اپنے نام سے مشہور ہونا چاہتی ہوں‘,Aas Paas
دلی میں مبینہ گینگ ریپ: ’خوف کے سبب کوئی بھی میری بہن کو بچانے نہیں آیا‘,Aas Paas
بچھڑا ہوا بھائی انڈیا سے پاکستان آئے گا تو ’ڈھول بجا کر سارا گاؤں اکٹھا کریں گے‘,Aas Paas
ممکن ہے ہلاک ہونے والا انڈین خاندان ’انسانی سمگلروں‘ کا شکار ہو گیا ہو: کینیڈین حکام,Aas Paas
چینی حکام جیت گئے: ہالی وڈ فلم ’فائٹ کلب‘ کی کہانی ہی بدل دی گئی,Aas Paas
'عمران خان کا بہت شکریہ، ایک گھنٹے میں میرے بھائی کو ویزا دے دیا',Aas Paas
’آپ گریجویٹس کو پکوڑے تلنے کو کیوں کہہ رہے ہیں؟‘,Aas Paas
انڈیا میں بانی پاکستان کی یادگار کا نام تبدیل کرنے کا مطالبہ کیوں کیا جا رہا ہے؟,Aas Paas
نیٹ فلکس: دنیا کی سب سے بڑی سٹریمنگ سروس انڈیا سے مایوس کیوں؟,Aas Paas
ہندوتوا ایجنڈے کی علمبردار بال ٹھاکرے کی پارٹی شیو سینا انڈیا میں مقبولیت کیوں نہ حاصل کر پائی؟,Aas Paas
ایف 35 سی: چین اور امریکہ میں سمندر میں گرنے والے لڑاکا طیارے تک پہلے پہنچنے کی دوڑ,Aas Paas
اترپردیش: سب سے بڑی ریاست کی انتخابی ریلیوں میں پاکستان، جناح اور طالبان کا ذکر حاوی,Aas Paas
انڈین گجرات کا کینیڈا میں لاپتہ ہونے والا خاندان اور اس کے خواب,Aas Paas
روس یوکرین تنازعہ اور چین کا مؤقف: اپنی’ دقیانوسی ذہنیت‘ چھوڑ دیں,Aas Paas
چینی نوجوان کی کہانی: پیدا کرنے والوں نے بیچ دیا، خریدنے والے مر گئے، پر بات یہیں نہیں رکتی,Aas Paas
یوم جمہوریہ پر وزیراعظم کی ٹوپی زیربحث: 'ہمارا میڈیا مودی جی کی ٹوپی کو سمجھنے میں پھنس گیا‘,Aas Paas
انڈین تاجر سے چوری کی گئی کروڑوں روپے مالیت کی کرپٹو کرنسی حماس کو منتقل ہوئی: پولیس,Aas Paas
جاسوسی کے الزام میں پاکستان کو مطلوب انڈین سفارتکار کے کراچی سے ڈرامائی فرار کی کہانی,Aas Paas
ممبئی میں سردی: ’20 ڈگری پر سردی محسوس کرنا لازمی ہے، ہمارے جذبات سمجھو‘,Aas Paas
رچررڈ گیئر کا شلپا شیٹی کو بوسہ: اداکارہ 15 سال بعد فحاشی پھیلانے کے الزامات سے بری,Aas Paas
اترپردیش: سب سے بڑی ریاست میں گائیوں کے جان لیوا حملے بڑا انتخابی مسئلہ کیوں؟,Aas Paas
’ضرورت پڑی تو ایران امریکہ کے ساتھ براہ راست بات چیت پر غور کرسکتا ہے‘,Aas Paas
’شہدا سے غداری‘ اور گاندھی کی پسندیدہ دُھن کی بازگشت: انڈیا کا یوم جمہوریہ متنازع کیوں بنا؟,Aas Paas
راجستھان کے ارب پتی تاجروں کے سنسان محل اور حویلیاں,Aas Paas
’ابوظہبی میں امریکی فوجی اڈے کو نشانہ بنایا گیا، جوابی کارروائی میں پیٹریاٹ میزائل استعمال ہوئے‘,Aas Paas
پاکستانی شہروں میں دہشتگردی کے حالیہ واقعات افغانستان میں ٹی ٹی پی پر پُراسرار حملوں کا ردعمل ہیں؟,Aas Paas
غریب انڈین نابینا طالبعلم پانچ کروڑ پاؤنڈ کی کمپنی کا مالک کیسے بنا؟,Aas Paas
40 سال پہلے بمبئی کے مِل مزدوروں کے بچے جرائم کی دنیا کے بادشاہ کیسے بنے؟,Aas Paas
معروف انڈین ایٹمی سائنسدان کی ہلاکت جو آج بھی مفروضوں اور سازشی نظریات کا گڑھ ہے,Aas Paas
اقوام متحدہ کے ’آر ٹو پی‘ اصول کی تشریح پر وزیر اعظم کی وضاحت,Aas Paas
انڈیا میں مسلم خواتین کے خلاف نفرت پھیلانے کا نیٹ ورک کیسے کام کرتا ہے؟,Aas Paas
کابل سے لاپتہ تمنا کی تلاش: ‘گھر کے اندر کوئی نہیں، دروازے پر ایک بڑے بوٹ کا نشان‘,Aas Paas
کیا جینیوا کنوینشنز ایکٹ کے تحت لندن پولیس انڈین فوج کے خلاف قانونی کارروائی کر سکتی ہے؟,Aas Paas
متحدہ عرب امارات پر یمنی باغیوں کے حملے سے خطے پر کیا اثر پڑے گا؟,Aas Paas
انڈیا نے فلپائن کو برہموس میزائل فروخت کرنے کا فیصلہ کیوں کیا؟,Aas Paas
میم جو غم بھلا دے اور فلموں ڈراموں میں کام بھی دلا دے,Aas Paas
کانگریس کی 'پوسٹر گرل' بی جے پی میں کیوں شامل ہو گئیں؟,Aas Paas
'معلوم نہیں تھا کہ شوہر کا زبردستی سیکس کرنا میریٹل ریپ کہلاتا ہے‘,Aas Paas
نریندر مودی کی حکومت مقبول یوٹیوب چینلز کے نشانے پر,Aas Paas
انڈیا، چین سرحد پر آخری سویلین آبادی کا سفر: اروناچل پردیش میں دونوں ملکوں کی فوجی تیاریاں,Aas Paas
انڈیا کا چینی فوج پر 17 سالہ انڈین نوجوان کو گرفتار کرنے کا الزام,Aas Paas
مسلم خواتین کے بارے میں ہتک آمیز گفتگو: ’یہ سوچ پدرشاہی ذہنیت کی دین ہے کہ عورتیں بہت نرم دل ہوتی ہیں‘,Aas Paas
بدتمیزی کی حد تک دوٹوک رویہ رکھنے والا شہر: ’ہمارے بیٹے کی شادی طے ہو گئی ہے، اب رشتے نہ لائیں‘,Aas Paas
اداکارہ رائمہ اسلام جن کے قاتلوں کا سراغ پلاسٹک کی ایک ڈوری سے ملا,Aas Paas
خونریز سرحدی جھڑپوں اور کشیدگی کے باوجود انڈیا کیوں چاہتا ہے کہ چین کے ساتھ تجارت جاری رہے؟,Aas Paas
ثانیہ مرزا نے ٹینس کو خیرباد کہنے کا ارادہ کر لیا,Aas Paas
'صرف حجاب پہننے کی اجازت چاہتی ہیں، جو ہماری شناخت سے جُڑا ہے‘,Aas Paas
موبائل فون کی طاقت: چین اور مغرب آمنے سامنے,Aas Paas
انڈیا کی ’سب سے طاقتور‘ وزیراعظم اپنے اقتدار کے عروج پر زوال کا شکار کیسے ہوئیں؟,Aas Paas
کیا ایرانی صدر کا دورۂ روس خطے میں بڑی تبدیلی کا پیش خیمہ ہو گا؟,Aas Paas
جب پاکستانی فوجی راج کپور سے ملنے جلیبیاں لے کر سرحد پر آئے,Aas Paas
انڈیا کی سلیبرٹی شیرنی ’کالر والی‘، ایک خوفناک شکاری بھی وفادار دوست بھی,Aas Paas
نریندر مودی کا خطاب: جب الفاظ نے ’عظیم مقرر‘ کا ساتھ چھوڑ دیا,Aas Paas
کولمبو پورٹ سٹی منصوبہ: ایک نیا دبئی یا ایشیا میں چین کی نئی ’چوکی‘؟,Aas Paas
سعادت حسن منٹو اور فلمی دنیا: جب منٹو کی کہانی کسی اور کے نام سے چل گئی,Aas Paas
’زینب کا آخری تحفہ شاید اب کبھی استعمال نہ کر پاؤں‘,Aas Paas
انڈین جج کی موت کا معمہ: آٹو رکشا سے ٹکر حادثہ تھی یا سازش؟,Aas Paas
شمالی کوریا کے غیرمعمولی میزائل تجربے کیا چین سے خفگی کا اظہار ہیں؟,Aas Paas
وراٹ کی میراث: کوہلی دھکا دیے جانے سے پہلے ہی کود پڑے,Aas Paas
برصغیر کی خوبصورت مغنیہ جن کی تصویر والے پوسٹ کارڈ دگنی قیمت پر فروخت ہوتے تھے,Aas Paas
طالبان کی قید میں اسلام قبول کرنے والا آسٹریلوی شہری دوبارہ افغانستان کیوں جانا چاہتا ہے؟,Aas Paas
انوشکا کا کوہلی کے نام پیغام: ’آپ نے کبھی بھی لالچ نہیں کیا اس عہدے کے لیے بھی نہیں‘,Aas Paas
جب انڈیا نے پنجاب کا 84 ہزار ایکڑ رقبہ پاکستان کے حوالے کر دیا,Aas Paas
جب ایک خوبصورت لڑکی نے کیفی اعظمی کے لیے اپنی منگنی توڑ دی,Aas Paas
افغانستان: لوگ گھر گرم کرنے کے لیے پلاسٹک جلانے پر مجبور,Aas Paas
طالبان سے چھپتے افغان اساتذہ: ‘ہم گھروں میں ایسے بیٹھے ہیں جیسے جیل میں ہوں‘,Aas Paas
’انسانی جسم میں سؤر کا دل لگانے کا تجربہ پہلے میں نے کیا تھا اور مجھے جیل بھیج دیا گیا‘,Aas Paas
وہ لمحہ جب ایک پتنگ نوجوان کو بھی اپنے ساتھ لے اڑی,Aas Paas
سری لنکا: تامل ٹائیگرز سے ’جنگ کے بعد کے دور میں اب مسلمان نئے دشمن ہیں‘,Aas Paas
اتر پردیش میں اہم انتخابات سے قبل بی جے پی رہنما پارٹی کیوں چھوڑ رہے ہیں؟,Aas Paas
’عمران خان سے کہو نا مجھے ویزا دے، انڈیا میں میرا کوئی نہیں ہے‘,Aas Paas
لوہڑی: آگ کی لو کی گرمجوشی اور شکر کی چاشنی کا تہوار,Aas Paas
کیا سیاچن سے فوج ہٹانے کے لیے پاکستان انڈیا کی پیشگی شرط تسلیم کر سکتا ہے؟,Aas Paas
خالد بلتی کی ہلاکت کی تصدیق: کراچی مدرسے کے سابق استاد اور ٹی ٹی پی کمانڈر کون تھے؟,Aas Paas
چینی خاتون کی اجنبی سے پہلی ملاقات جو لاک ڈاؤن میں بدل گئی,Aas Paas
قسمت بدلنے کے جنون میں مبتلا قوم جو خوش قسمتی کے حصول کے لیے کسی بھی حد تک جا سکتی ہے,Aas Paas
کیا ایران طالبان کو تسلیم کرنے کی تیاری کر رہا ہے؟,Aas Paas
نابالغ بیٹے کے ختنے کروانے اور تبدیلی مذہب کی درخواست دینے پر والدہ گرفتار,Aas Paas
چین: افغان سفیر سفارت خانے کو تالا لگا کر ’چابی بیجنگ میں قطر کے سفارتخانے کے پاس‘ چھوڑ گئے,Aas Paas
’سیکسسٹ‘ ٹویٹ: ثائنہ نہوال سے ’اپنے غیرمہذب مذاق پر معافی مانگتا ہوں‘,Aas Paas
انڈیا کے لیے امریکی شہریت ترک کرنے والی خاتون جنھیں ممبئی اب ایک ’جیل‘ لگتی ہے,Aas Paas
قطر کے پرل آئی لینڈ سے دبئی میں ’دی پام‘ تک: ’ہم مصنوعی جزیروں کے دور میں جی رہے ہیں‘,Aas Paas
انڈین پولیس فورس کے ’ابھینندن‘ جو اپنی مونچھوں کی وجہ سے معطل اور پھر بحال ہوئے,Aas Paas
تحریک طالبان پاکستان کی محمد خالد خراسانی کی ہلاکت کی خبروں کی تردید,Aas Paas
طالبان وزیر خارجہ کی تہران میں اپنے مخالف رہنماؤں احمد مسعود اور اسماعیل خان سے ملاقات,Aas Paas
20 کروڑ مسلمانوں کی نسل کشی کی دھمکی پر کیوں خاموش رہے، جاوید اختر کی مودی پر تنقید,Aas Paas
سُلی ڈیلز: مسلمان خواتین کی بولی لگانے والی ایپ کا مبینہ خالق گرفتار,Aas Paas
کابل ائیرپورٹ پر امریکی فوجی کو تھمایا گیا دو ماہ کا بچہ والدین تک کیسے پہنچا؟,Aas Paas
کشمیر میں مبینہ ’انکاؤنٹرز‘ اور ہلاکتیں: ’تمھارا بیٹا گاڑی میں ہے، خود اُتارو اور اس کو دفن کرو‘,Aas Paas
’انڈیا میں نفرت پھیلانے والے ہر شخص کے خلاف قانونی لڑائی لڑوں گا‘,Aas Paas
انڈیا میں وزیر اعظم کی سکیورٹی کے لیے سپیشل فورس کی ضرورت کیوں پیش آئی؟,Aas Paas
’میرا سب کچھ ختم ہو گیا، لگتا ہے ایران کی لغت میں انصاف نام کی کوئی چیز نہیں‘,Aas Paas
انڈیا میں بے روزگاری کی سنگین صورتحال: ڈگری یافتہ نوجوان معمولی نوکریاں کرنے پر مجبور,Aas Paas
خاتون کے بالوں پر تھوکنے کا معاملہ: معروف انڈین سٹائلسٹ جاوید حبیب کی معافی اور مقدمہ,Aas Paas
بُلی بائی ایپ کیس: ’ہم لڑکیاں بہت مشکل وقت سے گزر رہی ہیں لیکن انشااللہ ہم اس معاملے کو انجام تک پہنچائیں گی‘,Aas Paas
مودی کی سکیورٹی میں مبینہ کوتاہی: سپریم کورٹ نے سکیورٹی انتظامات کا ریکارڈ طلب کر لیا,Aas Paas
جرمنی نے یوکرین کو اسلحہ فراہم کرنے سے کیوں انکار کیا؟,world
شمالی کوریا: پانچ سال میں سب سے بڑا میزائل تجربہ، کم جونگ اُن چاہتے کیا ہیں؟,world
یوگینڈا ’رول پراٹھے‘ کا چیمپیئن بن گیا,world
کہکشاں میں ’پراسرار‘ شے کا انکشاف کرنے والے طالب علم کون ہیں؟,world
ٹرانس خاتون کی محبت کی تلاش: ’لوگ جنسی اعضا، سیکس سے متعلق پوچھتے تھے‘,world
روس کا یوکرین پر حملہ ’خوفناک‘ ہو گا، امریکی جنرل کی تنبیہ,world
بوتل میں بند ’امید کے پیغام‘ کا سمندر میں تین ہزار میل کا سفر,world
’کرائے کا قاتل‘ برطانوی شخص پاکستانی بلاگر وقاص گورایہ کے قتل کی سازش کا مجرم قرار,world
ممکن ہے ہلاک ہونے والا انڈین خاندان ’انسانی سمگلروں‘ کا شکار ہو گیا ہو: کینیڈین حکام,world
یوکرین تنازع: جنگی طیارے، ٹینک، بکتر بند گاڑیاں۔۔۔ روس کی تیاریاں عروج پر,world
حادثے کی وائرل تصویر: ’کشتی میں 40 لوگ تھے، صرف ایک زندہ بچا‘,world
ایف 35 سی: چین اور امریکہ میں سمندر میں گرنے والے لڑاکا طیارے تک پہلے پہنچنے کی دوڑ,world
امریکی بحریہ کے افسر کا نقد رقم، طوائفوں کی خدمات کے عوض ریاستی راز بیچنے کا اعتراف,world
جرمنی کی پانچ ہزار ہیلمٹ کی پیشکش ’ایک مذاق ہے، اس کے بعد کیا وہ تکیے بھیجے گا؟‘,world
انڈین گجرات کا کینیڈا میں لاپتہ ہونے والا خاندان اور اس کے خواب,world
’نازیوں کا شکاری‘ جو ہولوکاسٹ کے 80 سال بعد بھی ممکنہ مجرموں کے تعاقب میں ہے,world
’ریت کا وسیع ہوتا قالین‘: دبئی میں زرخیز زمین سمٹ کیوں رہی ہے؟,world
ہسپتال کا ویکسین نہ لگوانے والے شخص کے دل کی پیوندکاری سے انکار,world
پولیس برطانوی وزیرِاعظم کے گھر میں کس چیز کی تحقیقات کر رہی ہے؟,world
روسی جارحیت کا جواب دینے کے لیے توجہ اور طاقت کے ساتھ کام کر رہے ہیں: امریکہ,world
وقاص گورایہ کے قتل کی سازش کے الزام کے مقدمے میں جیوری کا فیصلے پر غور شروع,world
روس یوکرین تنازعہ اور چین کا مؤقف: اپنی’ دقیانوسی ذہنیت‘ چھوڑ دیں,world
سعودی عرب اور تھائی لینڈ میں نیلے ہیرے کی چوری پر منقطع ہونے والے سفارتی تعلقات 33 برس بعد بحال,world
کنوارپن بحالی کا آپریشن: ’مجھے لگا یہی ایک طریقہ ہے جس سے میں پہلے کی طرح ہو سکتی ہوں‘,world
انڈین تاجر سے چوری کی گئی کروڑوں روپے مالیت کی کرپٹو کرنسی حماس کو منتقل ہوئی: پولیس,world
الوداع سمارٹ فون: ’اب میرا دماغ ہر وقت کسی مشین سے نہیں بندھا رہتا‘,world
روس، یوکرین کشیدگی: نیٹو کیا ہے اور روس اس پر اعتبار کیوں نہیں کرتا؟,world
نیٹفلکس کی پہلی عربی فلم پر ہم جنس پرستی کو فروغ اور عرب اقدار کو نشانہ بنانے کا الزام,world
